month_no,month,Year2016_real_time,Year2017_real_time,Year2018_real_time,Year2016_estimated_time,Year2017_estimated_time,Year2018_estimated_time
01,Jan,,12.647043518523995,14.080562613954013,,39.508831018518656,26.302555420969608
02,Feb,,13.168825248991016,16.94513756815219,,31.848929478673075,24.528996050157986
03,Mar,,12.951184487834322,16.30141017440915,,24.73238647770073,22.033066807345808
04,Apr,,14.917912500404764,11.499241053674409,,27.349810201268888,23.679546414797294
05,May,,11.322362975370565,11.419028935355149,,24.28478355338818,22.89148826574997
06,Jun,,12.011572704384433,9.239216293164453,,24.02186440796661,27.772740093685073
07,Jul,,11.592732387196564,8.958636237156037,,23.317316061296125,19.69012653080075
08,Aug,,11.147124655509886,7.732779720462545,,23.480602743439714,15.186330203906536
09,Sep,54.81319444440305,11.851006528897189,,18.488449073862284,22.437366334786525,
10,Oct,19.600558787545648,11.856699698524157,,55.676631988103516,23.019535817078935,
11,Nov,,15.161131699240915,,,22.560752014663407,
12,Dec,4.693020833656192,15.39491853010823,,26.030011574272066,27.681339964125648,
