month_no,month,Year2016,Year2017,Year2018
01,Jan,0.0,37632.570000000014,969967.8000000014
02,Feb,0.0,222270.74999999968,853616.8199999996
03,Mar,0.0,376833.71999999916,1024851.9499999988
04,Apr,0.0,299798.4499999997,1274742.1799999997
05,May,0.0,579280.4300000006,1150528.9299999995
06,Jun,0.0,489463.41999999987,1141543.8499999982
07,Jul,0.0,518115.1900000012,925958.789999998
08,Aug,0.0,609180.3400000023,1319737.6599999953
09,Sep,0.0,652576.4800000007,12875.18
10,Oct,34116.28,740570.4,347.95000000000005
11,Nov,10734.639999999998,733047.3299999997,0.0
12,Dec,960.85,1082600.6899999997,0.0
